"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Jake","Bechtel","Right","FB",93.43687,1.2692,0.43491,5.43961,1.92794,5.26834,4.9548,14.64664,-17.31753,-1.119894092,-6.150174795,-2.047370018,-2.926491336,2338.838171,198.6808019,0.8046946096,12:30:00,2023-09-07,13:48:51.48
"Jake","Bechtel","Right","FB",93.44155,0.65601,0.09476,5.52891,1.78399,5.21633,-2.89398,10.908,-20.92914,-2.093545806,-7.219771302,-1.55427901,-3.354070437,2429.564472,165.1626337,0.7295428417,11:30:00,2023-09-07,13:48:33.43
"Jake","Bechtel","Right","FB",93.40337,1.08625,0.30908,5.51608,1.74452,5.3058,-2.76655,11.51199,-20.05952,-1.810715574,-6.670737923,-1.295542482,-2.962829565,2532.87514,166.5062955,0.6944228942,11:30:00,2023-09-07,13:48:00.24
"Jake","Bechtel","Right","SI",92.94318,1.4359,0.73692,5.445,1.77213,5.37344,10.29051,11.09159,-21.17995,-0.1025342693,-6.373777306,-2.037239295,-2.413474588,2248.422383,222.8321232,0.6748398005,01:30:00,2023-09-07,13:50:36.92
"Jake","Bechtel","Right","FB",93.02042,2.0765,0.32778,5.29228,1.77574,5.39316,3.25301,12.56629,-19.11722,-1.244386705,-5.299572875,-1.8510832,-1.746476269,2273.908568,194.4869953,0.7485860881,12:30:00,2023-09-07,13:52:24.66
"Jake","Bechtel","Right","FB",93.60077,2.65472,0.92071,5.53741,1.92613,5.10891,4.43564,13.62524,-18.10197,-0.6481232862,-4.828168387,-1.472996336,-1.471584511,2388.927263,198.0033388,0.7626986285,12:30:00,2023-09-07,13:47:46.99
"Jake","Bechtel","Right","SI",92.99595,2.03864,1.42464,5.31984,2.04111,5.24927,13.36083,10.14869,-22.27776,0.6523070438,-5.697667793,-1.85772361,-1.529383804,2357.637895,232.7334776,0.6963187867,01:45:00,2023-09-07,13:50:55.54
"Jake","Bechtel","Right","FB",92.90504,2.25387,-0.44061,5.25711,1.76522,5.47668,1.33196,13.97583,-17.89244,-2.248668128,-4.970262069,-2.498003545,-1.629495252,2310.257158,185.4315212,0.730253648,12:15:00,2023-09-07,13:52:06.11
"Jake","Bechtel","Right","SI",92.5586,3.32685,1.77637,5.41098,2.01565,5.14587,11.61254,10.73058,-22.06092,0.8827060758,-4.389915257,-1.293916148,-0.2633916921,2400.639998,227.1840115,0.6758104615,01:30:00,2023-09-07,13:51:13.53
"Jake","Bechtel","Right","FB",92.40562,1.06117,-0.18825,5.47002,1.527,5.41778,1.27132,12.86596,-19.52597,-1.723754896,-6.626639698,-1.961909013,-2.993303908,2357.157153,185.6368107,0.7715532668,12:15:00,2023-09-07,13:49:09.66
"Jack","Bell","Right","FB",82.81284,1.78779,-0.02406,4.81598,2.36116,5.24969,0.84465,13.65201,-27.94851,-2.455005005,-5.915521277,-2.611789449,-0.7433081774,2129.99564,183.5314382,NA,12:00:00,2022-08-05,12:54:12.36
"Jack","Bell","Right","FB",82.79889,0.89296,-1.00644,4.83495,2.42118,5.39915,-5.22319,11.14673,-30.51957,-4.16335503,-7.145010454,-3.19043749,-1.490168574,1999.174016,154.9613958,NA,11:15:00,2022-08-05,13:00:16.04
"Jack","Bell","Right","FB",82.63439,3.13664,0.89033,4.77759,2.55835,5.36326,-1.09257,7.94502,-33.75903,-1.885300355,-5.037222027,-1.681498722,1.249619427,1924.185111,172.2037237,NA,11:45:00,2022-08-05,12:59:11.69
"Jack","Bell","Right","FB",83.4789,2.90061,-0.83918,4.7866,2.28873,NA,3.5442,16.70709,-25.51785,-2.94403527,-4.434004613,-3.594918485,0.2523839053,1929.37243,191.9525536,NA,12:30:00,2022-08-05,12:58:47.50
